These	These	np1	These	Theise	0
enjoy	enjoy	vvi	enjoy	enjoy	0
from	from	p-acp	from	from	0
our	our	po12	our	our	0
soveraigne	soveraigne	j-jn	sovereign	sovereign	0
Lorde	Lorde	n1	Lord	lord	0
the	the	dt	the	the	0
King	King	n1	King	king	0
their	their	po32	their	their	0
fees	fees	n2	fees	fee	0
and	and	cc	and	and	0
commodities	commodities	n2	commodities	commodity	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
ende	ende	n1	end	end	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
serve	serve	vvi	serve	serve	0
him	him	pno31	him	he	0
and	and	cc	and	and	0
every	every	d	every	every	0
marchant	marchant	n1	merchant	merchant	0
justly	justly	av-j	justly	just	0
and	and	cc	and	and	0
faithfully	faithfully	av-j	faithfully	faithful	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
any	any	d	any	any	0
contribution	contribution	n1	contribution	contribution	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
imposed	imposed	vvn	imposed	impose	0
anewe	anewe	av	anew	anew	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
sayde	sayde	j-vvn	said	say	0
marchants	marchants	n2	merchants	merchant	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
custome	custome	n1	custom	custom	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
marchants	marchants	n2	merchants	merchant	0
doe	doe	vdb	do	do	0
alleage	alleage	vvi	allege	allege	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
customers	customers	n2	customers	customer	0
&	&	cc	&	and	0
bailifs	bailifs	n2	bailiffs	bailiff	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
town	town	n1	town	town	0
of	of	pp-f	of	of	0
Southhampton	Southhampton	np1	Southhampton	Southampton	0
do	do	vdb	do	do	0
compel	compel	vvi	compel	compel	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
for	for	p-acp	for	for	0
every	every	d	every	every	0
last	last	ord	last	last	0
of	of	pp-f	of	of	0
herrings	herrings	n2	herrings	herring	0
,	,	,	,	,	0
pitch	pitch	n1	pitch	pitch	0
,	,	,	,	,	0
&	&	cc	&	and	0
sope	sope	n1	soap	soap	0
ashes	ashes	n2	ashes	ash	0
brought	brought	vvd	brought	bring	0
thither	thither	av	thither	thither	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
2	2	crd	2	2	0
.	.	.	.	.	1
s	s	sy	s	s	0
.	.	.	.	.	0
more	more	dc	more	more	0
then	then	cs	then	than	0
the	the	dt	the	the	0
kings	kings	ng1	kings	king	0
custome	custome	n1	custom	custom	0
:	:	:	:	:	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
ech	ech	d	each	each	0
hundreth	hundreth	ord	hundreth	hundred	0
of	of	pp-f	of	of	0
bowstaves	bowstaves	n2	bowstaves	bowstave	0
&	&	cc	&	and	0
boords	boords	n2	boards	board	0
called	called	vvn	called	call	0
Waghenscot	Waghenscot	n1	Waghenscot	waghenscot	0
,	,	,	,	,	0
2.d	2.d	crd	2.d	2.d	0
.	.	.	.	.	0
for	for	p-acp	for	for	0
every	every	d	every	every	0
hundreth	hundreth	ord	hundreth	hundred	0
of	of	pp-f	of	of	0
boords	boords	n2	boards	board	0
called	called	vvn	called	call	0
Richolt	Richolt	np1	Richolt	Richolt	0
,	,	,	,	,	0
4.d	4.d	crd	4.d	4.d	0
.	.	.	.	.	1
&	&	cc	&	and	0
for	for	p-acp	for	for	0
al	al	d	all	all	0
other	other	j-jn	other	other	0
marchandize	marchandize	n1	merchandise	merchandise	0
brought	brought	vvn	brought	bring	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
marchants	marchants	n2	merchants	merchant	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
same	same	d	same	same	0
towne	towne	n1	town	town	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
contributions	contributions	n2	contributions	contribution	0
they	they	pns32	they	they	0
never	never	av-x	never	never	0
paid	paid	vvn	paid	pay	0
at	at	p-acp	at	at	0
any	any	d	any	any	0
time	time	n1	time	time	0
heeretofore	heeretofore	av	heretofore	heretofore	0
,	,	,	,	,	0
being	being	vbg	being	be	0
greatly	greatly	av-j	greatly	great	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
hinderance	hinderance	n1	hindrance	hindrance	0
,	,	,	,	,	0
and	and	cc	and	and	0
contrary	contrary	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
tenour	tenour	n1	tenor	tenor	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Charter	Charter	n1	Charter	charter	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
HANSE	HANSE	fw-mi	HANSE	hanse	0
MERCHANTS	MERCHANTS	ng2	MERCHANTS	merchant	0
’	’	’	’	’	0
GRIEVANCES	GRIEVANCES	n2	GRIEVANCES	grievance	0
a.d.	a.d.	n1	a.d.	a.d.	0
.	.	.	.	.	1
1407	1407	crd	1407	1407	0
-	-	-	-	-	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
marchants	marchants	n2	merchants	merchant	0
do	do	vdb	do	do	0
alleage	alleage	vvi	allege	allege	0
,	,	,	,	,	0
that	that	cst	that	that	0
one	one	pi	one	one	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
company	company	n1	company	company	0
,	,	,	,	,	0
called	called	vvn	called	call	0
Albert	Albert	np1	Albert	Albert	0
Redewish	Redewish	j	Redewish	redewish	0
of	of	pp-f	of	of	0
Prussia	Prussia	np1	Prussia	Prussia	0
,	,	,	,	,	0
bringing	bringing	vvg	bringing	bring	0
divers	divers	j	diverse	diverse	0
goods	goods	n2-j	goods	good	0
&	&	cc	&	and	0
marchandizes	marchandizes	n2	merchandizes	merchandize	0
unto	unto	p-acp	unto	unto	0
Newcastle	Newcastle	np1	Newcastle	Newcastle	0
upon	upon	p-acp	upon	upon	0
Tine	Tine	np1	Tine	Tine	0
,	,	,	,	,	0
&	&	cc	&	and	0
there	there	a-acp	there	there	0
paying	paying	vvg	paying	pay	0
the	the	dt	the	the	0
usual	usual	j	usual	usual	0
custom	custom	n1	custom	custom	0
of	of	pp-f	of	of	0
3.d	3.d	crd	3.d	3.d	0
.	.	.	.	.	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
pound	pound	n1	pound	pound	0
for	for	p-acp	for	for	0
al	al	d	all	all	0
his	his	po31	his	his	0
wares	wares	n2	wares	ware	0
,	,	,	,	,	0
the	the	dt	the	the	0
bailifs	bailifs	n2	bailiffs	bailiff	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
towne	towne	n1	town	town	0
,	,	,	,	,	0
against	against	p-acp	against	against	0
all	all	d	all	all	0
reason	reason	n1	reason	reason	0
,	,	,	,	,	0
exacted	exacted	vvn	exacted	exact	0
7.	7.	crd	7.	7.	0
pound	pound	n1	pound	pound	0
sterling	sterling	j-jn	sterling	sterling	0
at	at	p-acp	at	at	0
his	his	po31	his	his	0
hands	hands	n2	hands	hand	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
the	the	dt	the	the	0
custome	custome	n1	custom	custom	0
:	:	:	:	:	0
whereupon	whereupon	c-crq	whereupon	whereupon	0
the	the	dt	the	the	0
foresaide	foresaide	j-vvn	foresaid	foresay	0
marchant	marchant	n1	merchant	merchant	0
got	got	vvd	god	get	0
a	a	dt	a	a	0
briefe	briefe	j	brief	brief	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
kings	kings	ng1	kings	king	0
majesty	majesty	n1	majesty	majesty	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
recovery	recovery	n1	recovery	recovery	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
7.	7.	crd	7.	7.	1
H.	H.	np1	H.	H.	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
equity	equity	n1	equity	equity	0
&	&	cc	&	and	0
reason	reason	n1	reason	reason	0
:	:	:	:	:	0
howbeit	howbeit	a-acp	howbeit	howbeit	0
,	,	,	,	,	0
that	that	cst	that	that	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
comming	comming	n-vvg	coming	come	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
briefe	briefe	n1	brief	brief	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
bailifes	bailifes	n2	baliffs	baliff	0
would	would	vmd	would	will	0
do	do	vdi	do	do	0
nothing	nothing	pix	nothing	nothing	0
on	on	p-acp	on	on	0
his	his	po31	his	his	0
behalfe	behalfe	n1	behalf	behalf	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
slaine	slaine	vvn	slain	slay	0
their	their	po32	their	their	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
associate	associate	n1	associate	associate	0
,	,	,	,	,	0
contrary	contrary	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
charter	charter	n1	charter	charter	0
and	and	cc	and	and	0
priviledges	priviledges	n2	privileges	privilege	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
William	William	np1	William	William	0
Esturmy	Esturmy	j	Esturmy	esturmy	0
knight	knight	n1	knight	knight	0
,	,	,	,	,	0
&	&	cc	&	and	0
John	John	np1	John	John	0
Kington	Kington	np1	Kington	Kington	0
canon	canon	n1	canon	canon	0
of	of	pp-f	of	of	0
Lincolne	Lincolne	np1	Lincolne	Lincoln	0
,	,	,	,	,	0
being	being	vbg	being	be	0
by	by	p-acp	by	by	0
ye	ye	pn22	you	you	0
most	most	av-ds	most	most	0
mighty	mighty	j	mighty	mighty	0
prince	prince	n1	prince	prince	0
&	&	cc	&	and	0
lord	lord	n1	lord	lord	0
,	,	,	,	,	0
L.	L.	n1	L.	lord	0
Henry	Henry	np1	Henry	Henry	0
by	by	p-acp	by	by	0
Gods	Gods	npg1	Gods	God	0
grace	grace	n1	grace	grace	0
K.	K.	n1	K.	king	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
&	&	cc	&	and	0
France	France	np1	France	France	0
&	&	cc	&	and	0
lord	lord	n1	lord	lord	0
of	of	pp-f	of	of	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
sufficiently	sufficiently	av-j	sufficiently	sufficient	0
deputed	deputed	vvn	deputed	depute	0
and	and	cc	and	and	0
appointed	appointed	vvn	appointed	appoint	0
to	to	p-acp	to	to	0
parle	parle	n1	parley	parley	0
,	,	,	,	,	0
treate	treate	vvb	treat	treat	0
,	,	,	,	,	0
&	&	cc	&	and	0
agree	agree	vvb	agree	agree	0
wl	wl	vvi	wl	wl	0
the	the	dt	the	the	0
common	common	j	common	common	0
society	society	n1	society	society	0
of	of	pp-f	of	of	0
ye	ye	dt	the	the	0
marchants	marchants	n2	merchants	merchant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Hans	Hans	np1	Hans	Hans	0
of	of	pp-f	of	of	0
Dutchland	Dutchland	np1	Dutchland	Dutchland	0
or	or	cc	or	or	0
Almain	Almain	njp	Almain	almain	0
,	,	,	,	,	0
concerning	concerning	vvg	concerning	concern	0
&	&	cc	&	and	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
redressing	redressing	vvg	redressing	redress	0
&	&	cc	&	and	0
reformation	reformation	n1	reformation	reformation	0
of	of	pp-f	of	of	0
unjust	unjust	j	unjust	unjust	0
attempts	attempts	n2	attempts	attempt	0
happening	happening	vvg	happening	happen	0
between	between	p-acp	between	between	0
our	our	po12	our	our	0
said	said	j-vvn	said	say	0
soveraign	soveraign	j-jn	sovereign	sovereign	0
L.	L.	n1	L.	lord	0
the	the	dt	the	the	0
king	king	n1	king	king	0
his	his	po31	his	his	0
liege	liege	n1	liege	liege	0
people	people	n1	people	people	0
&	&	cc	&	and	0
subjects	subjects	n2-jn	subject's	subject	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
one	one	crd	one	one	0
part	part	n1	part	part	0
,	,	,	,	,	0
&	&	cc	&	and	0
between	between	p-acp	between	between	0
the	the	dt	the	the	0
common	common	j	common	common	0
society	society	n1	society	society	0
aforesaid	aforesaid	vvn	aforesaid	aforesaid	0
,	,	,	,	,	0
the	the	dt	the	the	0
cities	cities	n2	cities	city	0
,	,	,	,	,	0
towns	towns	n2	towns	town	0
,	,	,	,	,	0
&	&	cc	&	and	0
particular	particular	j	particular	particular	0
persons	persons	n2	persons	person	0
therof	therof	av	thereof	thereof	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
part	part	n1	part	part	0
:	:	:	:	:	0
do	do	vdb	do	do	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
behalf	behalf	n1	behalf	behalf	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
said	said	j-vvn	said	say	0
sovraign	sovraign	j	sovraign	sovraign	0
L.	L.	n1	L.	lord	0
the	the	dt	the	the	0
king	king	n1	king	king	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
mind	mind	n1	mind	mind	0
&	&	cc	&	and	0
intention	intention	n1	intention	intention	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
al	al	d	all	all	0
&	&	cc	&	and	0
singular	singular	j	singular	singular	0
ye	ye	pn22	you	you	0
things	things	n2	things	thing	0
underwritten	underwritten	vvd	underwritten	underwrite	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
common	common	j	common	common	0
society	society	n1	society	society	0
)	)	)	)	)	0
intimate	intimate	vvi	intimate	intimate	0
,	,	,	,	,	0
declare	declare	vvb	declare	declare	0
,	,	,	,	,	0
&	&	cc	&	and	0
make	make	vvi	make	make	0
known	known	vvn	known	know	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
(	(	(	(	(	0
hono	hono	fw-la	hono	hono	0
.	.	.	.	.	0
sirs	sirs	n2	sirs	sir	0
)	)	)	)	)	0
Henr.	Henr.	np1	Henr.	Henr.	1
Westhoff	Westhoff	np1	Westhoff	Westhoff	0
citizen	citizen	n1	citizen	citizen	0
&	&	cc	&	and	0
deputy	deputy	n1	deputy	deputy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
city	city	n1	city	city	0
of	of	pp-f	of	of	0
Lubec	Lubec	np1	Lubec	Lubec	0
,	,	,	,	,	0
Henry	Henry	np1	Henry	Henry	0
Fredelaw	Fredelaw	np1	Fredelaw	Fredelaw	0
,	,	,	,	,	0
Joh.	Joh.	np1	Joh.	Joh.	0
van	van	fw-mi	van	van	0
Berk	Berk	np1	Berk	Berk	0
citizen	citizen	n1	citizen	citizen	0
of	of	pp-f	of	of	0
Colen	Colen	np1	Colen	Colen	0
,	,	,	,	,	0
Mainard	Mainard	np1	Mainard	Mainard	0
Buxtehude	Buxtehude	j	Buxtehude	buxtehude	0
citizen	citizen	n1	citizen	citizen	0
,	,	,	,	,	0
8c	8c	j	8c	8c	0
deputy	deputy	n1	deputy	deputy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
city	city	n1	city	city	0
of	of	pp-f	of	of	0
Hamburgh	Hamburgh	np1	Hamburgh	Hamburgh	0
,	,	,	,	,	0
M.	M.	n1	M.	m.	0
Simon	Simon	np1	Simon	Simon	0
Clawsten	Clawsten	vvb	Clawsten	clawsten	0
clerk	clerk	n1	clerk	clerk	0
,	,	,	,	,	0
sir	sir	n1	sir	sir	0
John	John	np1	John	John	0
de	de	fw-fr	de	de	0
Aa	Aa	np1	Aa	Aa	0
knight	knight	n1	knight	knight	0
deputie	deputie	n1	deputy	deputy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
citie	citie	n1	city	city	0
of	of	pp-f	of	of	0
Rostok	Rostok	n1	Rostok	rostok	0
,	,	,	,	,	0
Herman	Herman	np1	Herman	Herman	0
Meyer	Meyer	np1	Meyer	Meyer	0
deputy	deputy	n1	deputy	deputy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
citie	citie	n1	city	city	0
of	of	pp-f	of	of	0
Wismar	Wismar	np1	Wismar	Wismar	0
,	,	,	,	,	0
being	being	vbg	being	be	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
procurators	procurators	n2	procurators	procurator	0
,	,	,	,	,	0
messengers	messengers	n2	messengers	messenger	0
,	,	,	,	,	0
8c	8c	j	8c	8c	0
commissioners	commissioners	n2	commissioners	commissioner	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
cities	cities	n2	cities	city	0
,	,	,	,	,	0
assembled	assembled	vvn	assembled	assemble	0
together	together	av	together	together	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
town	town	n1	town	town	0
of	of	pp-f	of	of	0
Hage	Hage	np1	Hage	Hage	0
in	in	p-acp	in	in	0
Holland	Holland	n1	Holland	holland	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
ye	ye	dt	the	the	0
forenamed	forenamed	j-vvn	forenamed	forename	0
Will	Will	n1	Will	will	0
.	.	.	.	.	1
8c	8c	j	8c	8c	0
John	John	np1	John	John	0
in	in	p-acp	in	in	0
regard	regard	n1	regard	regard	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
redres	redres	n1	redress	redress	0
8c	8c	j	8c	8c	0
reformation	reformation	n1	reformation	reformation	0
:	:	:	:	:	0
that	that	cst	that	that	0
,	,	,	,	,	0
even	even	av	even	even	0
as	as	c-acp	as	as	0
our	our	po12	our	our	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
said	said	vvd	said	say	0
soveraign	soveraign	j-jn	sovereign	sovereign	0
L.	L.	n1	L.	lord	0
the	the	dt	the	the	0
king	king	n1	king	king	0
his	his	po31	his	his	0
meaning	meaning	n1	meaning	meaning	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
disturb	disturb	vvi	disturb	disturb	0
or	or	cc	or	or	0
hinder	hinder	vvi	hinder	hinder	0
such	such	d	such	such	0
priviledges	priviledges	n2	privileges	privilege	0
as	as	c-acp	as	as	0
have	have	vhb	have	have	0
bin	bin	vbn	been	be	0
heretofore	heretofore	av	heretofore	heretofore	0
granted	granted	vvn	granted	grant	0
&	&	cc	&	and	0
vouchsafed	vouchsafed	vvn	vouchsafed	vouchsafe	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
common	common	j	common	common	0
society	society	n1	society	society	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
marchants	marchants	n2	merchants	merchant	0
aforesaid	aforesaid	j	aforesaid	aforesaid	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
renoumed	renoumed	j-vvn	renowned	renown	0
kings	kings	n2	kings	king	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
&	&	cc	&	and	0
the	the	dt	the	the	0
worthy	worthy	j	worthy	worthy	0
progenitors	progenitors	n2	progenitors	progenitor	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
L.	L.	n1	L.	lord	0
the	the	dt	the	the	0
K.	K.	n1	K.	king	0
that	that	cst	that	that	0
now	now	av	now	now	0
is	is	vbz	is	be	0
,	,	,	,	,	0
&	&	cc	&	and	0
by	by	p-acp	by	by	0
himself	himself	px31	himself	himself	0
also	also	av	also	also	0
under	under	p-acp	under	under	0
a	a	dt	a	a	0
certain	certain	j	certain	certain	0
form	form	n1	from	form	0
confirmed	confirmed	vvn	confirmed	confirm	0
:	:	:	:	:	0
even	even	av	even	even	0
so	so	av	so	so	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
determined	determined	vvd	determined	determine	0
(	(	(	(	(	0
without	without	p-acp	without	without	0
,	,	,	,	,	0
ye	ye	pn22	you	you	0
prejudice	prejudice	n1	prejudice	prejudice	0
of	of	pp-f	of	of	0
forren	forren	j	foreign	foreign	0
lawes	lawes	n2	laws	law	0
)	)	)	)	)	0
upon	upon	p-acp	upon	upon	0
just	just	j	just	just	0
,	,	,	,	,	0
mature	mature	j	mature	mature	0
and	and	cc	and	and	0
sober	sober	j	sober	sober	0
deliberation	deliberation	n1	deliberation	deliberation	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
royall	royall	j	royal	royal	0
authoritie	authoritie	n1	authority	authority	0
to	to	pc-acp	to	to	0
withstand	withstand	vvi	withstand	withstand	0
such	such	d	such	such	0
priviledges	priviledges	n2	privileges	privilege	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
abuse	abuse	n1	abuse	abuse	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
have	have	vhb	have	have	0
bene	bene	vbn	be	be	0
infinitely	infinitely	av-j	infinitely	infinite	0
prejudicial	prejudicial	j	prejudicial	prejudicial	0
!	!	!	!	!	0
unto	unto	p-acp	unto	unto	0
himselfe	himselfe	px31	himself	himself	0
and	and	cc	and	and	0
his	his	po31	his	his	0
subjects	subjects	n2-jn	subject's	subject	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Inprimis	Inprimis	fw-la	Inprimis	inprimis	0
the	the	dt	the	the	0
said	said	zz	said	said	0
ambassadours	ambassadours	n2	ambassadors	ambassador	0
doe	doe	vdb	do	do	0
affirme	affirme	vvi	affirm	affirm	0
as	as	c-acp	as	as	0
afore	afore	a-acp	afore	afore	0
,	,	,	,	,	0
that	that	cst	that	that	0
whereas	whereas	cs	whereas	whereas	0
all	all	d	all	all	0
and	and	cc	and	and	0
every	every	d	every	every	0
the	the	dt	the	the	0
Marchants	Marchants	n2	Merchants	merchant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
company	company	n1	company	company	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
often	often	av	often	often	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
would	would	vmd	would	will	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
,	,	,	,	,	0
both	both	av-d	both	both	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Realme	Realme	n1	Realm	realm	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
other	other	j-jn	other	other	0
territories	territories	n2	territories	territory	0
&	&	cc	&	and	0
dominions	dominions	n2	dominions	dominion	0
subject	subject	j-jn	subject	subject	0
unto	unto	p-acp	unto	unto	0
our	our	po12	our	our	0
soveraigne	soveraigne	j-jn	sovereign	sovereign	0
lord	lord	n1	lord	lord	0
the	the	dt	the	the	0
king	king	n1	king	king	0
,	,	,	,	,	0
admitted	admitted	vvn	admitted	admit	0
and	and	cc	and	and	0
suffered	suffered	vvd	suffered	suffer	0
(	(	(	(	(	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
tenor	tenor	n1	tenor	tenor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
forenamed	forenamed	j-vvn	forenamed	forename	0
priviledges	priviledges	n2	privileges	privilege	0
granted	granted	vvn	granted	grant	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
)	)	)	)	)	0
freely	freely	av-j	freely	free	0
,	,	,	,	,	0
friendly	friendly	j	friendly	friendly	0
and	and	cc	and	and	0
securely	securely	av-j	securely	secure	0
to	to	pc-acp	to	to	0
traffique	traffique	vvi	traffic	traffic	0
and	and	cc	and	and	0
converse	converse	vvi	converse	converse	0
with	with	p-acp	with	with	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
liege	liege	n1	liege	liege	0
people	people	n1	people	people	0
and	and	cc	and	and	0
subjects	subjects	n2-jn	subject's	subject	0
whatsoever	whatsoever	r-crq	whatsoever	whatsoever	0
,	,	,	,	,	0
or	or	cc	or	or	0
with	with	p-acp	with	with	0
other	other	j-jn	other	other	0
people	people	n1	people	people	0
of	of	pp-f	of	of	0
whatsoever	whatsoever	r-crq	whatsoever	whatsoever	0
nation	nation	n1	nation	nation	0
living	living	vvg	living	live	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
realme	realme	n1	realm	realm	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
or	or	cc	or	or	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
dominions	dominions	n2	dominions	dominion	0
aforesaid	aforesaid	j	aforesaid	aforesaid	0
:	:	:	:	:	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
common	common	j	common	common	0
society	society	n1	society	society	0
of	of	pp-f	of	of	0
marchants	marchants	n2	merchants	merchant	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
publike	publike	j	public	public	0
&	&	cc	&	and	0
deliberate	deliberate	j	deliberate	deliberate	0
common	common	j	common	common	0
counsel	counsel	n1	counsel	counsel	0
did	did	vdd	did	do	0
appoint	appoint	vvi	appoint	appoint	0
&	&	cc	&	and	0
ordain	ordain	vvi	ordain	ordain	0
,	,	,	,	,	0
y*	y*	n1	y*	y*	0
no	no	dx	no	no	0
society	society	n1	society	society	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
cities	cities	n2	cities	city	0
,	,	,	,	,	0
townes	townes	n2	towns	town	0
,	,	,	,	,	0
or	or	cc	or	or	0
places	places	n2	places	place	0
,	,	,	,	,	0
neither	neither	av-dx	neither	neither	0
yet	yet	av	yet	yet	0
any	any	d	any	any	0
particular	particular	j	particular	particular	0
man	man	n1	man	man	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
such	such	d	such	such	0
society	society	n1	society	society	0
(	(	(	(	(	0
there	there	pc-acp	there	there	0
being	being	vbg	being	be	0
no	no	dx	no	no	0
lawfull	lawfull	j	lawful	lawful	0
or	or	cc	or	or	0
reasonable	reasonable	j	reasonable	reasonable	0
cause	cause	n1	cause	cause	0
why	why	c-crq	why	why	0
)	)	)	)	)	0
shoulde	shoulde	vmd	should	shall	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
wise	wise	j	wise	wise	0
admit	admit	vvb	admit	admit	0
any	any	d	any	any	0
marchants	marchants	n2	merchants	merchant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
realm	realm	n1	realm	realm	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
resorting	resorting	vvg	resorting	resort	0
unto	unto	p-acp	unto	unto	0
their	their	po32	their	their	0
cities	cities	n2	cities	city	0
or	or	cc	or	or	0
other	other	j-jn	other	other	0
places	places	n2	places	place	0
for	for	p-acp	for	for	0
